numero,nif,nome,tipo_entidade,deporte,web_modalidades,nome_especialidade,enderezo,direcion,codigo_postal,codigo_provincia,provincia,wikidata_provincias,codigo_concello,concello,wikidata_concellos,telefono1,telefono2,web,data_alta
C-15020,G19438233,CLUB PEREIRO BALONCESTO,CLUB DEPORTIVO,basketball,http://www.wikidata.org/entity/Q5372,,"R/CARBALLO, Nº23 (URB. TAPADA DE BOUZAS)",R/CARBALLO,32710,32,Ourense,http://www.wikidata.org/entity/Q95038,32058,O Pereiro de Aguiar,http://www.wikidata.org/entity/Q1603774,675427353,675427353,,2024-09-09
C-08905,G27342005,CLUB RIBEIRA FUTBOL SALA,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,FÚTBOL SALA,LUGAR  AGRO DO SOUTO - CONTURIZ,LUGAR  AGRO DO SOUTO - CONTURIZ,27160,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27028,Lugo,http://www.wikidata.org/entity/Q11125,637327113,,,2006-05-19
,,,,CICLISMO,http://www.wikidata.org/entity/Q2215841,,,,,,,,,,,,,,
,,,,auto racing,http://www.wikidata.org/entity/Q5386,,,,,,,,,,,,,,
,,,,athletics,http://www.wikidata.org/entity/Q542,,,,,,,,,,,,,,
C-13448,G27491885,BTT LUCUS AVENTUR TERRAS DE LUGO,CLUB DEPORTIVO,archery,http://www.wikidata.org/entity/Q108429,,"LG. CRISTIMIL, 7",LG. CRISTIMIL,,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27028,Lugo,http://www.wikidata.org/entity/Q11125,646149340,646149340,,2018-11-16
,,,,canoeing and kayaking,http://www.wikidata.org/entity/Q213934,,,,,,,,,,,,,,
,,,,mountaineering,http://www.wikidata.org/entity/Q36908,,,,,,,,,,,,,,
,,,,CICLISMO,http://www.wikidata.org/entity/Q2215841,,,,,,,,,,,,,,
C-15019,,QUINCEMIL F.S,CLUB DEPORTIVO,futsal,http://www.wikidata.org/entity/Q171401,,AVDA GLASGOW Nª16 3ªA,AVDA GLASGOW Nª,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,654607572,654607572,,2024-09-09
,,,,association football,http://www.wikidata.org/entity/Q2736,,,,,,,,,,,,,,
C-15018,G19405885,CARBALLEIRA DO PÁRAMO CLUB DE BALONCESTO,CLUB DEPORTIVO,basketball,http://www.wikidata.org/entity/Q5372,,"CASA DO CONCELLO - RÚA DE VILARMOSTEIRO, S/N",CASA DO CONCELLO - RÚA DE VILARMOSTEIRO,,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27043,O Páramo,http://www.wikidata.org/entity/Q1617334,696996052,696996052,,2024-09-09
C-06968,G27268713,SOCIEDAD DEPORTIVA DE CAZADORES SAN BARTOLO,CLUB DEPORTIVO,shooting sports,http://www.wikidata.org/entity/Q206989,,LG. SAN XULIÁN DE CABOECAS 28,LG. SAN XULIÁN DE CABOECAS,27798,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27005,Barreiros,http://www.wikidata.org/entity/Q1634820,617130974,617130794,,2001-03-29
,,,,PESCA E CASTING,,,,,,,,,,,,,,,
,,,,CAZA,,,,,,,,,,,,,,,
C-08072,G27304542,SOCIETARIO DE CAZADORES TERRA CHA,CLUB DEPORTIVO,CAZA,,,LUGAR BOUZA(O CARBOEIRO) 19,LUGAR BOUZA(O CARBOEIRO),27377,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27015,Cospeito,http://www.wikidata.org/entity/Q1445401,661434294,661019659,,2004-03-04
C-01482,,CLUB BASKETDEZA,CLUB DEPORTIVO,basketball,http://www.wikidata.org/entity/Q5372,,"RÚA B, Nº 1",RÚA B,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36024,Lalín,http://www.wikidata.org/entity/Q1374736,,,,1988-03-14
C-07439,G36905107,FÚTBOL BASE GONDOMAR,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,LUGAR AS CERCAS 6 nullA,LUGAR AS CERCAS,36380,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36021,Gondomar,http://www.wikidata.org/entity/Q1607596,691682291,,,2002-06-17
C-14707,G56350853,SALESIANOS CORUÑA,CLUB DEPORTIVO,padel,http://www.wikidata.org/entity/Q1582389,,RUA HOSPITAL 14,RUA HOSPITAL,15002,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,690760767,690760767,www.clubsalesianoscoruna.es,2023-06-13
,,,,chess,http://www.wikidata.org/entity/Q718,,,,,,,,,,,,,,
,,,,VOLEIBOL,http://www.wikidata.org/entity/Q1734,,,,,,,,,,,,,,
,,,,table tennis,http://www.wikidata.org/entity/Q3930,,,,,,,,,,,,,,
,,,,rugby sevens,http://www.wikidata.org/entity/Q270102,,,,,,,,,,,,,,
,,,,skating,http://www.wikidata.org/entity/Q14300548,,,,,,,,,,,,,,
,,,,JUDO E D.A.,,,,,,,,,,,,,,,
,,,,association football,http://www.wikidata.org/entity/Q2736,,,,,,,,,,,,,,
,,,,CICLISMO,http://www.wikidata.org/entity/Q2215841,,,,,,,,,,,,,,
,,,,basketball,http://www.wikidata.org/entity/Q5372,,,,,,,,,,,,,,
,,,,athletics,http://www.wikidata.org/entity/Q542,,,,,,,,,,,,,,
C-00061,G15151368,CAMARINAS F.C.,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"AVENIDA C/ GALERA, S/N",AVENIDA C/ GALERA,15123,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15016,Camariñas,http://www.wikidata.org/entity/Q1373985,653077393,653077393,,1983-11-25
C-12057,G32455297,TOEN F.S.,CLUB DEPORTIVO,futsal,http://www.wikidata.org/entity/Q171401,,TRAVESIA DE MUGARES S/N,TRAVESIA DE MUGARES,,32,Ourense,http://www.wikidata.org/entity/Q95038,32081,Toén,http://www.wikidata.org/entity/Q943030,695792241,671391933,,2014-09-25
,,,,association football,http://www.wikidata.org/entity/Q2736,,,,,,,,,,,,,,
C-14721,G56173628,PROMES FUTSAL,CLUB DEPORTIVO,futsal,http://www.wikidata.org/entity/Q171401,,"LGAR. SOLBEIRA, Nº 9",LGAR. SOLBEIRA,,32,Ourense,http://www.wikidata.org/entity/Q95038,32055,Paderne de Allariz,http://www.wikidata.org/entity/Q1445723,697925837,697925837,,2023-07-05
C-03077,G32148876,S. PEÑA TREVINCA,CLUB DEPORTIVO,CAZA,,,RUA PLAZA  69,RUA PLAZA,32337,32,Ourense,http://www.wikidata.org/entity/Q95038,32017,Carballeda de Valdeorras,http://www.wikidata.org/entity/Q1607709,679326341,669175259,,1991-04-26
C-10920,G70303698,SANTIAGO RUGBY CLUB,CLUB DEPORTIVO,rugby sevens,http://www.wikidata.org/entity/Q270102,,"POETA MANUEL MARIA, 32 - 3ºA",POETA MANUEL MARIA,15704,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15078,Santiago de Compostela,http://www.wikidata.org/entity/Q14314,604046340,,,2011-08-19
C-01678,G32124273,CLUB MARISTAS OURENSE,CLUB DEPORTIVO,chess,http://www.wikidata.org/entity/Q718,,RUA BEDOYA 9,RUA BEDOYA,32004,32,Ourense,http://www.wikidata.org/entity/Q95038,32054,Ourense,http://www.wikidata.org/entity/Q99151,638292403,988228152,,1988-11-18
,,,,VOLEIBOL,http://www.wikidata.org/entity/Q1734,,,,,,,,,,,,,,
,,,,mountaineering,http://www.wikidata.org/entity/Q36908,,,,,,,,,,,,,,
,,,,association football,http://www.wikidata.org/entity/Q2736,,,,,,,,,,,,,,
,,,,DEPORTES DE INVERNO,http://www.wikidata.org/entity/Q204686,,,,,,,,,,,,,,
,,,,handball,http://www.wikidata.org/entity/Q8418,,,,,,,,,,,,,,
,,,,basketball,http://www.wikidata.org/entity/Q5372,,,,,,,,,,,,,,
C-13806,G70602065,BLACK CATS,CLUB DEPORTIVO,rugby sevens,http://www.wikidata.org/entity/Q270102,,"RÚA DOUTOR FERRANT 44, 4º",RÚA DOUTOR FERRANT,15002,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,677756646,677756646,,2019-10-02
C-01582,G32141285,A. D. DE CAZA Y PESCA SANMAMED,CLUB DEPORTIVO,CAZA,,,"ALBERGUERIA, Nº 67",ALBERGUERIA,,32,Ourense,http://www.wikidata.org/entity/Q95038,32039,Laza,http://www.wikidata.org/entity/Q1631843,988308699,988308699,,1988-07-07
C-00308,G15106412,S. RECREATIVA C. NUMANCIA DE ARES,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"SUBIDA DE PEDRO GARCÍA, S/N",SUBIDA DE PEDRO GARCÍA,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15004,Ares,http://www.wikidata.org/entity/Q17416,981448121,646916208,,1984-06-22
C-11712,G70497219,CLUB THE CUTARC TEAM,CLUB DEPORTIVO,archery,http://www.wikidata.org/entity/Q108429,,AVENIDA DE OZA 146 3ESQ,AVENIDA DE OZA,15006,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,648134696,667304189,,2013-10-03
C-14465,G36592285,TENIS DE MESA PONTEVEDRA,CLUB DEPORTIVO,table tennis,http://www.wikidata.org/entity/Q3930,,"RUA RÚA LUXEMBURGO,S/N S/N",RUA RÚA LUXEMBURGO,36162,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36038,Pontevedra,http://www.wikidata.org/entity/Q12411,615641452,,,2022-06-21
C-00551,G36645257,COMESAÑA SPORTING CLUB,CLUB DEPORTIVO,athletics,http://www.wikidata.org/entity/Q542,,CAMIÑO CAMIÑO DA PEDREIRA 21,CAMIÑO CAMIÑO DA PEDREIRA,36213,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36057,Vigo,http://www.wikidata.org/entity/Q8745,986235169,600078738,https://comesana.org/,1985-05-16
C-06828,G36376630,TENIS DE MESA MONTE PORREIRO,CLUB DEPORTIVO,table tennis,http://www.wikidata.org/entity/Q3930,,RUA LUXEMBURGO 12 2C,RUA LUXEMBURGO,36162,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36038,Pontevedra,http://www.wikidata.org/entity/Q12411,629252693,,,2000-12-01
C-15015,G19357441,CLUB NATACIÓN ARTÍSTICA PONTEFÉNIX,CLUB DEPORTIVO,competitive swimming,http://www.wikidata.org/entity/Q31920,,"RUA RÚA JOAQUÍN COSTA, Nº 16, 2º 16 2null",RUA RÚA JOAQUÍN COSTA,36001,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36038,Pontevedra,http://www.wikidata.org/entity/Q12411,657104686,,,2024-09-05
C-14422,G09866385,CAMBADOS VETERANOS,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,A MODIA Nº 127,A MODIA,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36006,Cambados,http://www.wikidata.org/entity/Q695477,619637455,619637455,,2022-04-19
C-03098,G15325921,C. SAN PEDRO F.C.,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"CORREDOIRA DAS FRAGUAS 24, 1º D",CORREDOIRA DAS FRAGUAS,15703,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15078,Santiago de Compostela,http://www.wikidata.org/entity/Q14314,666046586,666046586,,1991-05-08
C-05633,G27218759,CLUB DE CAZADORES FRIOL,CLUB DEPORTIVO,CAZA,,,"CAMPO DA FEIRA, 8 ROIMIL",CAMPO DA FEIRA,,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27020,Friol,http://www.wikidata.org/entity/Q576916,626087058,,,1997-11-24
C-12234,G70444310,CLUB ARQUEIROS DO BARBANZA,CLUB DEPORTIVO,archery,http://www.wikidata.org/entity/Q108429,,"RÚA ALEXANDRE BÓVEDA, 7 - BAIXO C",RÚA ALEXANDRE BÓVEDA,15940,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15067,A Pobra do Caramiñal,http://www.wikidata.org/entity/Q300525,629357842,615556599,,2015-03-16
C-14649,G44987816,CLUBE ARCEEIROS DE GALICIA,CLUB DEPORTIVO,CAZA,,,"LAVANDEIRAS, 104 - CELEIRO",LAVANDEIRAS,,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27066,Viveiro,http://www.wikidata.org/entity/Q641221,627908775,627908775,,2023-04-12
C-15013,,BONI BARBERÍA FÚTBOL SALA,CLUB DEPORTIVO,futsal,http://www.wikidata.org/entity/Q171401,,"AVENIDA FINISTERRE, 192, BAJO D",AVENIDA FINISTERRE,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,610575441,635032034,,2024-09-02
,,,,association football,http://www.wikidata.org/entity/Q2736,,,,,,,,,,,,,,
C-15012,G19910512,ESCOLA FÚTBOL FEMENINO SONNOIA PORTUS APOSTOLI,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"RUA RÚA BOLIVIA,S/N",RUA RÚA BOLIVIA,15200,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15057,Noia,http://www.wikidata.org/entity/Q818601,663244565,663244565,,2024-08-30
C-13685,G70591433,BALONCESTO GALDEA,CLUB DEPORTIVO,basketball,http://www.wikidata.org/entity/Q5372,,LUGAR LIÑARES 7,LUGAR LIÑARES,15865,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15013,Brión,http://www.wikidata.org/entity/Q1615466,677855549,677855549,,2019-06-10
C-15010,,CLUB DEPORTIVO BRÉTEMA,CLUB DEPORTIVO,skating,http://www.wikidata.org/entity/Q14300548,PATINAXE ARTÍSTICO,"RÚA CASTROBÓ, Nº11",RÚA CASTROBÓ,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15017,Cambre,http://www.wikidata.org/entity/Q1113375,608736489,608736489,,2024-08-29
C-15009,G19379569,ASOCIACIÓN DEPORTIVA BREXAN,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"MÚSICO MESTRE SOUTULLO,37 4ºE",MÚSICO MESTRE SOUTULLO,,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27028,Lugo,http://www.wikidata.org/entity/Q11125,646386405,646386405,,2024-08-29
,,,,athletics,http://www.wikidata.org/entity/Q542,,,,,,,,,,,,,,
C-15011,,AB CORUÑA BLUES,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,RUA JUAN DIAZ PORLIER 22 2J,RUA JUAN DIAZ PORLIER,15009,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,644354119,644354119,,2024-08-29
C-03968,G15462237,C. MELIDE FÚTBOL SALA,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,FÚTBOL SALA,RUA MARTAGONS 2,RUA MARTAGONS,15800,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15046,"Melide, A Coruña",http://www.wikidata.org/entity/Q912514,600546187,649268325,NON TEN,1993-06-30
C-14287,G16918278,ATENEA GRAPPLING,CLUB DEPORTIVO,LOITA E D.A.,,"LOITA SAMBO, LIBRE OLÍMPICA, MMA (ARTES MARCIAIS MIXTAS), LOITA GRAPPLING",RUA GARCÍA PRIETO 40 2ºDnull,RUA GARCÍA PRIETO,15706,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15078,Santiago de Compostela,http://www.wikidata.org/entity/Q14314,629727912,620905335,,2021-11-09
C-15008,,S.D. ACEA DE AMA,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"AVENIDA NEW YORK, 1, 1º",AVENIDA NEW YORK,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,670752801,670752801,,2024-08-28
C-00873,G32030843,GRUPO DE ESPELEOLOXÍA E MONTAÑISMO ÁGUILAS VERDES,CLUB DEPORTIVO,orienteering,http://www.wikidata.org/entity/Q29358,TRÍATLON,"RUA RUA QUELLA, Nº 4 4",RUA RUA QUELLA,32310,32,Ourense,http://www.wikidata.org/entity/Q95038,32073,Rubiá,http://www.wikidata.org/entity/Q516631,646002310,646002310,,1900-01-01
,,,,shooting sports,http://www.wikidata.org/entity/Q206989,,,,,,,,,,,,,,
,,,,archery,http://www.wikidata.org/entity/Q108429,,,,,,,,,,,,,,
,,,,canoeing and kayaking,http://www.wikidata.org/entity/Q213934,,,,,,,,,,,,,,
,,,,competitive swimming,http://www.wikidata.org/entity/Q31920,,,,,,,,,,,,,,
