NÚMERO;NIF;DENOMINACION;TIPO_ENTIDADE;MODALIDADES;ESPECIALIDADES;ENDEREZO;CP;CÓDIGO ;PROVINCIA;CÓDIGO CONCELLO;CONCELLO;TELÉFONO 1;TELÉFONO 2;PÁXINA WEB;FECHA_ALTA
C-15020;G19438233;CLUB PEREIRO BALONCESTO;CLUB DEPORTIVO;BALONCESTO;; R/CARBALLO, Nº23 (URB. TAPADA DE BOUZAS);32710;32;OURENSE;32058;PEREIRO DE AGUIAR, O;675427353;675427353;;09/09/2024
C-08905;G27342005;CLUB RIBEIRA FUTBOL SALA;CLUB DEPORTIVO;FÚTBOL, CICLISMO, AUTOMOBILISMO, ATLETISMO;FÚTBOL SALA; LUGAR  AGRO DO SOUTO - CONTURIZ;27160;27;LUGO;27028;LUGO;637327113;;;19/05/2006
C-13448;G27491885;BTT LUCUS AVENTUR TERRAS DE LUGO;CLUB DEPORTIVO;TIRO CON ARCO, PIRAGÜISMO, MONTAÑISMO, CICLISMO;; LG. CRISTIMIL, 7;;27;LUGO;27028;LUGO;646149340;646149340;;16/11/2018
C-15019;;QUINCEMIL F.S;CLUB DEPORTIVO;FÚTBOL SALA, FÚTBOL;; AVDA GLASGOW Nª16 3ªA;;15;A CORUÑA;15030;CORUÑA, A;654607572;654607572;;09/09/2024
C-15018;G19405885;CARBALLEIRA DO PÁRAMO CLUB DE BALONCESTO;CLUB DEPORTIVO;BALONCESTO;; CASA DO CONCELLO - RÚA DE VILARMOSTEIRO, S/N;;27;LUGO;27043;PÁRAMO, O;696996052;696996052;;09/09/2024
C-06968;G27268713;SOCIEDAD DEPORTIVA DE CAZADORES SAN BARTOLO;CLUB DEPORTIVO;TIRO OLÍMPICO, PESCA E CASTING, CAZA;; LG. SAN XULIÁN DE CABOECAS 28;27798;27;LUGO;27005;BARREIROS;617130974;617130794;;29/03/2001
C-08072;G27304542;SOCIETARIO DE CAZADORES TERRA CHA;CLUB DEPORTIVO;CAZA;; LUGAR BOUZA(O CARBOEIRO) 19;27377;27;LUGO;27015;COSPEITO;661434294;661019659;;04/03/2004
C-01482;;CLUB BASKETDEZA;CLUB DEPORTIVO;BALONCESTO;; RÚA B, Nº 1;;36;PONTEVEDRA;36024;LALÍN;;;;14/03/1988
C-07439;G36905107;FÚTBOL BASE GONDOMAR;CLUB DEPORTIVO;FÚTBOL;; LUGAR AS CERCAS 6 nullA;36380;36;PONTEVEDRA;36021;GONDOMAR;691682291;;;17/06/2002
C-14707;G56350853;SALESIANOS CORUÑA;CLUB DEPORTIVO;PÁDEL, XADREZ, VOLEIBOL, TENIS DE MESA, RUGBY, PATINAXE, JUDO E D.A., FÚTBOL, CICLISMO, BALONCESTO, ATLETISMO;; RUA HOSPITAL 14;15002;15;A CORUÑA;15030;CORUÑA, A;690760767;690760767;www.clubsalesianoscoruna.es;13/06/2023
C-00061;G15151368;CAMARINAS F.C.;CLUB DEPORTIVO;FÚTBOL;; AVENIDA C/ GALERA, S/N;15123;15;A CORUÑA;15016;CAMARIÑAS;653077393;653077393;;25/11/1983
C-12057;G32455297;TOEN F.S.;CLUB DEPORTIVO;FÚTBOL SALA, FÚTBOL;; TRAVESIA DE MUGARES S/N;;32;OURENSE;32081;TOÉN;695792241;671391933;;25/09/2014
C-14721;G56173628;PROMES FUTSAL;CLUB DEPORTIVO;FÚTBOL SALA;; LGAR. SOLBEIRA, Nº 9;;32;OURENSE;32055;PADERNE DE ALLARIZ;697925837;697925837;;05/07/2023
C-03077;G32148876;S. PEÑA TREVINCA;CLUB DEPORTIVO;CAZA;; RUA PLAZA  69;32337;32;OURENSE;32017;CARBALLEDA DE VALDEORRAS;679326341;669175259;;26/04/1991
C-10920;G70303698;SANTIAGO RUGBY CLUB;CLUB DEPORTIVO;RUGBY;; POETA MANUEL MARIA, 32 - 3ºA;15704;15;A CORUÑA;15078;SANTIAGO DE COMPOSTELA;604046340;;;19/08/2011
C-01678;G32124273;CLUB MARISTAS OURENSE;CLUB DEPORTIVO;XADREZ, VOLEIBOL, MONTAÑISMO, FÚTBOL, DEPORTES DE INVERNO, BALONMÁN, BALONCESTO;; RUA BEDOYA 9;32004;32;OURENSE;32054;OURENSE;638292403;988228152;;18/11/1988
C-13806;G70602065;BLACK CATS;CLUB DEPORTIVO;RUGBY;; RÚA DOUTOR FERRANT 44, 4º;15002;15;A CORUÑA;15030;CORUÑA, A;677756646;677756646;;02/10/2019
C-01582;G32141285;A. D. DE CAZA Y PESCA SANMAMED;CLUB DEPORTIVO;CAZA;; ALBERGUERIA, Nº 67;;32;OURENSE;32039;LAZA;988308699;988308699;;07/07/1988
C-00308;G15106412;S. RECREATIVA C. NUMANCIA DE ARES;CLUB DEPORTIVO;FÚTBOL;; SUBIDA DE PEDRO GARCÍA, S/N;;15;A CORUÑA;15004;ARES;981448121;646916208;;22/06/1984
C-11712;G70497219;CLUB THE CUTARC TEAM;CLUB DEPORTIVO;TIRO CON ARCO;; AVENIDA DE OZA 146 3ESQ;15006;15;A CORUÑA;15030;CORUÑA, A;648134696;667304189;;03/10/2013
C-14465;G36592285;TENIS DE MESA PONTEVEDRA;CLUB DEPORTIVO;TENIS DE MESA;; RUA RÚA LUXEMBURGO,S/N S/N;36162;36;PONTEVEDRA;36038;PONTEVEDRA;615641452;;;21/06/2022
C-00551;G36645257;COMESAÑA SPORTING CLUB;CLUB DEPORTIVO;ATLETISMO;; CAMIÑO CAMIÑO DA PEDREIRA 21;36213;36;PONTEVEDRA;36057;VIGO;986235169;600078738;https://comesana.org/;16/05/1985
C-06828;G36376630;TENIS DE MESA MONTE PORREIRO;CLUB DEPORTIVO;TENIS DE MESA;; RUA LUXEMBURGO 12 2C;36162;36;PONTEVEDRA;36038;PONTEVEDRA;629252693;;;01/12/2000
C-15015;G19357441;CLUB NATACIÓN ARTÍSTICA PONTEFÉNIX;CLUB DEPORTIVO;NATACIÓN;; RUA RÚA JOAQUÍN COSTA, Nº 16, 2º 16 2null;36001;36;PONTEVEDRA;36038;PONTEVEDRA;657104686;;;05/09/2024
C-14422;G09866385;CAMBADOS VETERANOS;CLUB DEPORTIVO;FÚTBOL;; A MODIA Nº 127;;36;PONTEVEDRA;36006;CAMBADOS;619637455;619637455;;19/04/2022
C-03098;G15325921;C. SAN PEDRO F.C.;CLUB DEPORTIVO;FÚTBOL;; CORREDOIRA DAS FRAGUAS 24, 1º D;15703;15;A CORUÑA;15078;SANTIAGO DE COMPOSTELA;666046586;666046586;;08/05/1991
C-05633;G27218759;CLUB DE CAZADORES FRIOL;CLUB DEPORTIVO;CAZA;; CAMPO DA FEIRA, 8 ROIMIL;;27;LUGO;27020;FRIOL;626087058;;;24/11/1997
C-12234;G70444310;CLUB ARQUEIROS DO BARBANZA;CLUB DEPORTIVO;TIRO CON ARCO;; RÚA ALEXANDRE BÓVEDA, 7 - BAIXO C;15940;15;A CORUÑA;15067;POBRA DO CARAMIÑAL, A;629357842;615556599;;16/03/2015
C-14649;G44987816;CLUBE ARCEEIROS DE GALICIA;CLUB DEPORTIVO;CAZA;; LAVANDEIRAS, 104 - CELEIRO;;27;LUGO;27066;VIVEIRO;627908775;627908775;;12/04/2023
C-15013;;BONI BARBERÍA FÚTBOL SALA;CLUB DEPORTIVO;FÚTBOL SALA, FÚTBOL;; AVENIDA FINISTERRE, 192, BAJO D;;15;A CORUÑA;15030;CORUÑA, A;610575441;635032034;;02/09/2024
C-15012;G19910512;ESCOLA FÚTBOL FEMENINO SONNOIA PORTUS APOSTOLI;CLUB DEPORTIVO;FÚTBOL;; RUA RÚA BOLIVIA,S/N;15200;15;A CORUÑA;15057;NOIA;663244565;663244565;;30/08/2024
C-13685;G70591433; BALONCESTO GALDEA;CLUB DEPORTIVO;BALONCESTO;; LUGAR LIÑARES 7;15865;15;A CORUÑA;15013;BRIÓN;677855549;677855549;;10/06/2019
C-15010;;CLUB DEPORTIVO BRÉTEMA;CLUB DEPORTIVO;PATINAXE;PATINAXE ARTÍSTICO; RÚA CASTROBÓ, Nº11;;15;A CORUÑA;15017;CAMBRE;608736489;608736489;;29/08/2024
C-15009;G19379569;ASOCIACIÓN DEPORTIVA BREXAN;CLUB DEPORTIVO;FÚTBOL, ATLETISMO;; MÚSICO MESTRE SOUTULLO,37 4ºE;;27;LUGO;27028;LUGO;646386405;646386405;;29/08/2024
C-15011;;AB CORUÑA BLUES;CLUB DEPORTIVO;FÚTBOL;; RUA JUAN DIAZ PORLIER 22 2J;15009;15;A CORUÑA;15030;CORUÑA, A;644354119;644354119;;29/08/2024
C-03968;G15462237;C. MELIDE FÚTBOL SALA;CLUB DEPORTIVO;FÚTBOL;FÚTBOL SALA; RUA MARTAGONS 2;15800;15;A CORUÑA;15046;MELIDE;600546187;649268325;NON TEN;30/06/1993
C-14287;G16918278;ATENEA GRAPPLING;CLUB DEPORTIVO;LOITA E D.A.;LOITA SAMBO, LIBRE OLÍMPICA, MMA (ARTES MARCIAIS MIXTAS), LOITA GRAPPLING; RUA GARCÍA PRIETO 40 2ºDnull;15706;15;A CORUÑA;15078;SANTIAGO DE COMPOSTELA;629727912;620905335;;09/11/2021
C-15008;;S.D. ACEA DE AMA;CLUB DEPORTIVO;FÚTBOL;; AVENIDA NEW YORK, 1, 1º;;15;A CORUÑA;15030;CORUÑA, A;670752801;670752801;;28/08/2024
C-00873;G32030843;GRUPO DE ESPELEOLOXÍA E MONTAÑISMO ÁGUILAS VERDES;CLUB DEPORTIVO;ORIENTACIÓN, TIRO OLÍMPICO, TIRO CON ARCO, PIRAGÜISMO, NATACIÓN, MONTAÑISMO, ESPELEOLOXÍA, DEPORTES DE INVERNO, CICLISMO, ACTIVIDADES SUBACUÁTICAS, DEPORTE XERAL;TRÍATLON; RUA RUA QUELLA, Nº 4 4;32310;32;OURENSE;32073;RUBIÁ;646002310;646002310;;01/01/1900
C-03666;G27266543;S. DE CAZADORES SAN VERISIMO VILLAQUINTE;CLUB DEPORTIVO;TIRO OLÍMPICO, CAZA, DEPORTE XERAL;TIRO AL PICHON, PRATO FEDECAT; ROBLEDO DE RAO, 6;;27;LUGO;27034;NAVIA DE SUARNA;649309207;649309207;;09/09/1992
C-08209;G32140832;SOCIEDADE DEPORTIVA DE CAZADORES DE PARADA DO SIL;CLUB DEPORTIVO;CAZA;CAZA MENOR, CAZA MAYOR; REQUIÁN, Nº 3 - LOCAL SOCIAL DE CAZADORES PARADA DE SIL;;32;OURENSE;32057;PARADA DE SIL;639827367;665999876;;20/07/2004
C-15007;G19375666;CLUB DEPORTIVO AHIMSA;CLUB DEPORTIVO;FÚTBOL SALA, FÚTBOL, ATLETISMO;; RÚA CAMPOS VERDES, 11 1º;;27;LUGO;27066;VIVEIRO;679980831;679980831;;28/08/2024
C-15006;;CORUÑA BEACH CLUB;CLUB DEPORTIVO;VOLEIBOL, TENIS;VOLEY-PRAIA; RÚA MONTE ALTO, Nº:21;;15;A CORUÑA;15030;CORUÑA, A;682034383;682034383;;27/08/2024
C-06981;G15809189;CLUB DE CAZADORES DE FRADES;CLUB DEPORTIVO;CAZA;; CIMADEVILA, 10;;15;A CORUÑA;15038;FRADES;620733062;659851409;;11/04/2001
C-01542;G15278823;CLUB DE FÚTBOL LIRA;CLUB DEPORTIVO;FÚTBOL;; LUGAR LUGAR LIRA, S/N;15292;15;A CORUÑA;15020;CARNOTA;661959036;667282531;;11/04/1988
F-00534;G15117385;FEDERACIÓN GALEGA DE REMO;FEDERACIÓN DEPORTIVA GALEGO;REMO;; TRAVESIA DE GUTEMBERG 5 1null;15008;15;A CORUÑA;15030;CORUÑA, A;981264833;650215697;;29/04/1985
C-15005;;ASOCIACIÓN DE CAZADORES RÍO MERA DE OINES;CLUB DEPORTIVO;CAZA;; LUGAR DE CAMPO S/N;;15;A CORUÑA;15006;ARZÚA;679420916;679420916;;26/08/2024
C-13736;G70595046;CLUB ATLÉTICO CERCEDENSE;CLUB DEPORTIVO;FÚTBOL;; LUGAR PIÑEIRO,58.CAMPO DE FÚTBOL O ROXO;15185;15;A CORUÑA;15024;CERCEDA;686174069;619928724;;20/08/2019
C-15004;;PELAO FUTSAL;CLUB DEPORTIVO;FÚTBOL SALA, FÚTBOL;; R/ APOLO, Nº1;;32;OURENSE;32054;OURENSE;681931058;681931058;;23/08/2024
C-05652;G15628894;CLUB BALONCESTO COSTA ÁRTABRA;CLUB DEPORTIVO;VOLEIBOL, BALONCESTO;; R./ SOL,  59, 1º  A;15402;15;A CORUÑA;15036;FERROL;625698451;625698451;;04/12/1997
C-01153;G15124449;CLUB DEPORTE ADAPTADO ADM FERROLTERRA;CLUB DEPORTIVO;DEPORTE ADAPTADO;PÁDEL, ATLETISMO, BALONCESTO EN CADEIRA DE RODAS, BOCCIA, TENIS DE MESA; RUA FERNANDO VI, BLOQUE 2-LOCAL 18-19;15403;15;A CORUÑA;15036;FERROL;981351430;657947076;admferrol.com;03/07/1987
C-00406;G15130354;C. SANTO DOMINGO DE BETANZOS;CLUB DEPORTIVO;BAILE DEPORTIVO, TENIS, TAEKWONDO, KARATE, BALONCESTO;; RUA RÚA VENEZUELA 3 ENTC;15300;15;A CORUÑA;15009;BETANZOS;635662266;635662266;;23/11/1984
C-05823;G32240392;SOUTOPENEDO C. DE FUTBOL;CLUB DEPORTIVO;FÚTBOL;; TABERNA DO ANTELANO - SOUTOPENEDO, 27;;32;OURENSE;32075;SAN CIBRAO DAS VIÑAS;;616982399;;08/06/1998
C-07433;G32294217;CLUB DEPORTIVO ROCAS;CLUB DEPORTIVO;FÚTBOL;; PRAZA SOUTEIRA S/N;32720;32;OURENSE;32031;ESGOS;661508242;661508242;;13/06/2002
C-01194;V32027757;CLUB DEPORTIVO ARENTEIRO;CLUB DEPORTIVO;FÚTBOL;; CARRETERA CTRA. DE CABANELAS, S/N;32500;32;OURENSE;32019;CARBALLIÑO, O;627510962;627510962;www.cdarenteiro.es;22/09/1987
C-05071;G15561293;A. D. NICRARIENSE;CLUB DEPORTIVO;FÚTBOL;; LUGAR LUGAR DE CEPELO S/N;15830;15;A CORUÑA;15056;NEGREIRA;636712708;636712708;;06/06/1996
C-15003;G19372168;ENTROIDEIROS FUTSAL;CLUB DEPORTIVO;FÚTBOL SALA;; R/ MAIOR, Nº 35;;32;OURENSE;32085;VERÍN;654708286;654708286;;22/08/2024
C-01583;G15298193;S. DE CAZADORES DE TEO;CLUB DEPORTIVO;CAZA;; TRIBALDES S/N;;15;A CORUÑA;15082;TEO;981809126;;;07/07/1988
C-00295;G15115371;SOCIEDADE DEPORTIVA AS XUBIAS DA CORUÑA;CLUB DEPORTIVO;REMO, PIRAGÜISMO;; PLAYA DE OZA S/N;15006;15;A CORUÑA;15030;CORUÑA, A;639831870;981850102;;12/06/1984
C-12473;G70465794;SAMURAI SPORT`S CLUB;CLUB DEPORTIVO;ATLETISMO;CARREIRAS; PRAZA DO HOSPITAL, 7, BAIXO;;15;A CORUÑA;15070;PONTES DE GARCÍA RODRÍGUEZ, AS;981102510;670770004;;26/11/2015
C-00171;G27122886;IBERIA CLUB FUTBOL;CLUB DEPORTIVO;FÚTBOL;; RÚA O SOUTO, S/N;;27;LUGO;27005;BARREIROS;650309407;;;14/02/1984
C-01587;G15152424;PUEBLA FUTBOL CLUB.;CLUB DEPORTIVO;FÚTBOL;; LG. CABIO, S/N APARTADO DE CORREOS 86;15940;15;A CORUÑA;15067;POBRA DO CARAMIÑAL, A;656950289;656950289;;07/07/1988
C-06359;G27248418;SOCIEDADE MINDONIENSE DE CAZA;CLUB DEPORTIVO;TIRO OLÍMPICO, CAZA, DEPORTE XERAL;PRATO FEDECAT; AVENIDA SAN LUCAS 53 2null;27740;27;LUGO;27030;MONDOÑEDO;606917062;606917062;;06/10/1999
C-02018;G27126994;C. D. FOZ;CLUB DEPORTIVO;FÚTBOL;; RUA CORPORACIONES S/N;27780;27;LUGO;27019;FOZ;982141757;982141883;;31/03/1989
C-15002;;KICKSTRIKER FS;CLUB DEPORTIVO;FÚTBOL SALA, FÚTBOL;; ALFRED VICENTI, NÚM 11, BAIXO;;15;A CORUÑA;15030;CORUÑA, A;646285922;617357799;;21/08/2024
C-14496;G10986396;CLUB AUSARTA BERGONDO;CLUB DEPORTIVO;XIMNASIA;; LUGAR A SENRA 33;15165;15;A CORUÑA;15008;BERGONDO;982523034;982523034;;09/08/2022
C-00903;G15128069;UNION D. JUVENIL DE ALMEIRAS;CLUB DEPORTIVO;FÚTBOL;; RÚA CATAS  S/N;15174;15;A CORUÑA;15031;CULLEREDO;686210663;686210663;;22/09/1986
C-14957;;RAYO DE VILABOA FS;CLUB DEPORTIVO;FÚTBOL SALA, FÚTBOL;; NUESTRA SEÑORA DE LA LUZ, NÚM 7, 4º C;;15;A CORUÑA;15030;CORUÑA, A;608607741;608607741;;18/06/2024
C-11760;G70392105;CLUB CICLISTA TERRAS DO EUME;CLUB DEPORTIVO;CICLISMO, DEPORTE XERAL;TRÍATLON, DUATLÓN; AVDA. DE LUGO, 50, BAIXO;;15;A CORUÑA;15070;PONTES DE GARCÍA RODRÍGUEZ, AS;663087480;663087480;;13/11/2013
C-14071;G10780740;CLUB DEPORTIVO ALECRÍN;CLUB DEPORTIVO;BAILE DEPORTIVO;; RÚA ROSALÍA DE CASTRO, 118,  2º C;;15;A CORUÑA;15078;SANTIAGO DE COMPOSTELA;626705706;6267057068;;25/11/2013
C-10069;G70205679;FERROLVENTO WINDSURF;CLUB DEPORTIVO;VELA;WINDSURF; AVDA. DO MAR, S/N. CARANZA;;15;A CORUÑA;15036;FERROL;669185611;669185611;;09/03/2009
C-12632;G27480318;CLUB TRABADA FUTSAL;CLUB DEPORTIVO;FÚTBOL SALA, FÚTBOL, ATLETISMO;; RÚA SERRA DA CADEIRA, 21 1ºIZDA;;27;LUGO;27061;TRABADA;686904554;686904554;;05/05/2016
C-12718;G27483023;CENTRO DEPORTIVO D10;CLUB DEPORTIVO;PÁDEL, TENIS, NATACIÓN;; LUGAR MOSTEIRO S/N;27150;27;LUGO;27039;OUTEIRO DE REI;982986035;682473202;;22/08/2016
C-05779;G15644347;EIRIS SOCIEDADE DEPORTIVA;CLUB DEPORTIVO;FÚTBOL;; C/TRASMONTE DE CURTIDOS, 2;15009;15;A CORUÑA;15030;CORUÑA, A;617306549;617306549;;22/04/1998
C-00950;G27128172;C. SAN MARTIN DE COTA;CLUB DEPORTIVO;CAZA;; BERTAMIL - XIÁ;27227;27;LUGO;27020;FRIOL;629425161;629425161;;25/11/1986
C-12387;G70464979;RUNNING OLEIROS;CLUB DEPORTIVO;XIMNASIA, ATLETISMO;; PRAZA DA LIBERDADE, 1;;15;A CORUÑA;15058;OLEIROS;687707855;;;15/09/2015
C-15001;G27236256;PEÑA MADRIDISTA DE SARRIA;CLUB DEPORTIVO;FÚTBOL SALA, FÚTBOL;; LIBERDADE, 184;;27;LUGO;27057;SARRIA;658952074;696928943;;11/11/1998
C-13853;G70605035;CLUB ATLETISMO TAMBRE;CLUB DEPORTIVO;ATLETISMO;; RÚA DO DEPORTE 2. SIGÜEIRO;15688;15;A CORUÑA;15060;OROSO;629415223;629415223;;05/12/2019
C-08849;G70045844;CLUB ESCOLA DE BASKET XIRIA;CLUB DEPORTIVO;BALONCESTO;; RUA MUIÑO DA PINTURA(PAVILLÓN IES PARGA PONDAL) 4;15100;15;A CORUÑA;15019;CARBALLO;607847925;606373350;www.escolabasketxiria.com;24/03/2006
C-11411;G27439512;AGRUPACION DEPORTIVA VETERANOS PARADELA;CLUB DEPORTIVO;FÚTBOL;; ESDULFE, S/N;;27;LUGO;27042;PARADELA;646569693;;;13/11/2012
C-14480;G10584530;ESCOLA DE FÚTBOL CONCELLO DE CAMARIÑAS JUAN CABREJO;CLUB DEPORTIVO;FÚTBOL;; RUA RAMÓN NOGUEIRA 2;15123;15;A CORUÑA;15016;CAMARIÑAS;647659708;610367655;;21/07/2022
C-13287;G27502301;CARBALLEDO CF;CLUB DEPORTIVO;FÚTBOL;; MEIXONFRIO - VILLAQUINTE 14;27533;27;LUGO;27009;CARBALLEDO;657173030;;;16/07/2018
C-14576;G72822158;COLECTIVO HÉRCULES;CLUB DEPORTIVO;PÁDEL, TENIS, TRÍATLON E PENTATLÓN MODERNO, JUDO E D.A., CICLISMO, BOXEO, BILLAR, ATLETISMO;; RÚA SAN VICENTE, 60, 4ºI;;15;A CORUÑA;15030;CORUÑA, A;654854154;654854154;;13/12/2022
C-10140;G70214689;SAN XOAN TENIS DE MESA;CLUB DEPORTIVO;TENIS DE MESA;; CAMPO DE CHAO;;15;A CORUÑA;15036;FERROL;981320853;619008084;;08/06/2009
C-14999;;PICKLEBALL CLUB FERROL;CLUB DEPORTIVO;TENIS;; AVENIDA NICASIO PÉREZ, Nº7;;15;A CORUÑA;15036;FERROL;629912269;629912269;;14/08/2024
