codigoEquipo,nombreEquipo
181797,CD CIUDAD DE LOS MUCHACHOS 
183155,COLEGIO NUESTRA SE�ORA DE LA ESTRELLA
184691,JUVENTUD VALLEKAS MIXTO B
184688,CASTILLA DEL POZO
184689,DEPORTIVO MADRID AMBROZ
184692,TAJAMAR
183817,PLATA Y CASTA�AR
180852,SAN SATURIO
183903,FUTSALA VILLAVERDE
181746,STA. ISABEL-ASUNCI�N
183293,JUAN DE LA CIERVA
182825,"EM ALUCHE FS ""X"""
183306,JUAN DE LA CIERVA
183902,FUTSALA VILLAVERDE
183607,PERALES F.C.
183816,PLATA Y CASTA�AR
183819,PLATA Y CASTA�AR
183957,ORCASUR FUTSAL
183793,MATER PURISSIMA
183901,FUTSALA VILLAVERDE
183648,ESPARTANOS
183448,IES CERVANTES
183956,ORCASUR FUTSAL
183818,PLATA Y CASTA�AR
180282,�RBOL F.C.
180281,AEROPUTOS FC
180285,CATALEJO FC
180288,KANTERA FC
180287,FUTSAL ESPERANZA
180286,CD OROQUIETA ESPINILLO
180289,LOS CHIMIS FC
180284,CANTERANOS F.C.
180292,SANKRIS UNITED
180290,MALAKITO DE MEMPHIS
180291,RECREATIVO LAPENULTIMA
180283,BORUSSIA MESANGLADBACH
183918,EMPD MADRID BASE ROJO
183919,EMPD MADRID BASE VERDE
178926,CORVASQUAD
177721,CB POZUELO
177797,LOS FUNDIS
178109,LIONS OF POCHER
177809,REVUELTA KINGS
178082,BARRAB�S
177843,5 ESTRELLAS ROJAS BELGRADO
178153,LA SALLE BALLERS
177633,INDALO
179184,PRESOS CAN�BICOS
179207,GARROWS XXXV
179151,MAMBA VIKINGS 
183152,DISTRITO CARABANCHEL
183154,DISTRITO CARABANCHEL LOPE DE VEGA
183518,MARIANISTAS AMOR�S
178873,BUZZ LIGHT BEER
182831,ARCANGEL INTERNATIONAL SCHOOL 2�-3�
182548,FENIX BASKET CLUB - BOADILLA
182178,New England Revolution
182965,CDE ESCOLAPIOS ALUCHE
183524,La Salle FC
182841,ARCANGEL INTERNATIONAL SCHOOL 4�
182454,CBC BASKET
183126,A.B. VILLAVICIOSA DE ODON
183128,CD OROQUIETA ESPINILLO
180984,ASM LANCERS
181623,CBC BASKET
182900,CP Calasancio
182162,AMIDECU JUV MASC
182029,REVOLUTION SMA
183554,CEIP HERNAN CORTES BJ
182220,SANTA GEMA
183523,BARTOLOME COSSIO
182796,VILLA DE LEGANES - DECA
183322,F.T. FLOPPERS
183382,IES CELESTINO MUTIS
182607,ARGANZUELA CENTRO ROJO
182725,CD LOURDES BC JUV MAS
182063,BJC B
183537,CDB SPORTING LAS AGUILAS
179219,INAFUMA IBEBEN C.F
177803,O' CU�EIROS FC
178284,EKIPEJO
178036,ALUCHELAS
179324,�GUILAS CITY
179441,YELLOW C.F.
177908,GALACTICOS TEAM
178570,FXMAC FC
179512,EL CLAN DE LOS BALCANES
179824,CHOCOLATE SEXY
178301,PANZA Y GLORIA FC
179726,LAS TIGRESAS ENCERRADAS
179775,LA COMPETENCIA
179444,CLUB PENWIN
178078,CANALLITAS
179221,MADBULLS
177852,BROWERS FC
178351,RAYO MESITAS F.C
179177,PLATA O PLOMO FC
179216,TILT SQUAD
179742,F.C. TAKA TAKA
179745,ILUSOS C.F
179779,MAJOU S.D.
179007,AMIGOS DE LA PE�A
179837,A MES VENCIDO FC
178295,ELCHE NIKE FC
178795,DOGS UNITED
179599,CRISTIANOS FUTBOL CLUB 
178018,CASI FC
178362,LOS PERICOS FC
177939,VDK JUNIORS
178034,PUMAS F.C
178411,UD AERONABOS
177695,PERRACAS F.C
178857,MFS FC
178685,MACAKINHOS FC
178263,SHOWTIME
178234,PASSAPAROLA
178350,BIRRAREAL
177691,PILII FC
181616,IES GRAN CAPIT�N
181251,J CIERVA AMIDECU CAD AZUL
181016,REAL COLEGIO N� SRA. DE LORETO
181187,CLUB AGUIRRE
182118,MANZANARES VOLEY BLANCO
181956,CD NEWMAN A
180748,AMIDECU 11 CAD VERDE
181690,MANZANARES VOLEY ROJO
182024,CD NEWMAN B
180636,BEATA MAR�A ANA DE JES�S
184097,COLEGIO MIRASIERRA
180960,SEK AZUL
182359,OBISPO PERELL�
184093,AVP INF MXTO AMARILLO
180703,AMIDECU MIX AZUL
181041,VOLEIBOL HISPANO USERA
180681,FUHEM MONTSERRAT
180878,IRLANDESAS MADRID MIXTO GRIS
181125,IES CELESTINO MUTIS VPM
180688,SANTA GEMA
183508,SCUOLA SOI
180854,NG MADRID
180698,CD.MADRID FSM
178315,ONDA VERDE
177858,SAUCE BOYZ
178246,PEAKY BLINDERS
177828,AD NUEVA CASTILLA
178196,MAHOUCHESTER CITY
178505,FDEP/CANCHERITOS
178314,ENTREVIAS FS
178080,LA BANDA DEL PATIO
178081,ALFACORPS
177867,RECREATIVO DE JUERGA
177823,LOS CANSINOS
179698,RAYO TORO LOCO
178590,INTERNAZZIONALE F.S
179892,LOS ARCOS FS
179391,BDEBOXER
178070,LA CAIPIRINHA
179455,CHIVANI FC
179943,PARQUE AMARILLO
178451,MILAN GOSTINO
177816,ZAZA FC
179381,NEW TEAM C.F.
180197,MARCIANOS FC
181133,MOVISTAR ESTUDIANTES FERNANDO EL CAT�LICO
181119,SANTO DOMINGO FESD
182638,SALESIANOS ESTRECHO
180997,SAN CRIST�BAL A
183805,CB ISAAC NEWTON ROSA
181669,COLEGIO LICEO SOROLLA B
181422,PR�NCIPE AZUL
181839,OLIMPICO 64 
183804,ESCUELA NEWTON LEPANTO
181133,MOVISTAR ESTUDIANTES FERNANDO EL CAT�LICO 
181460,EFBM FERNANDO MARTIN A
181607,YERMO 6
181480,OLIMPICO 64 ROSA
181568,MOVISTAR ESTUDIANTES FERNANDO EL CAT�LICO
182185,EL PORVENIR
182153,TUCUTUCU SINGER BASKET
181635,EFBM FERNANDO MART�N A
181826,EFBM FERNANDO MART�N B
182542,SALESIANOS ESTRECHO
182805,VALDELUZ
181237,DEHESA DE LA VILLA
181468,RUFINO BLANCO
182780,VALDELUZ 2017
181560,PR�NCIPE BLANCO
181468,RUFINO BLANCO 
181972,CD RETIRO AS B
181988,CD RETIRO AS  C
180722,DRAGONES DE LAVAPI�S A
178736,AL-KACHOFA
178510,SOCIEDAD DEL MILAGRO
178928,MINABO DE ARGANZUELA
177739,Internacional de Madrid CF
177827,GMADRID SPORTS
177966,FC ALPALO
178738,LUDOS FC
178430,KASIGANAMOS
178959,JUGONES
178938,TIME DO BAIANO
177919,CLUB PAISA
178512,DRAGONES DE LAVAPI�S D
177774,UD ALUBIAS
178095,INGESPRO FC
178402,SAMBA F.C
178188,ESTRELLA COJA
178061,ESTRELLA BIRRAS F.C.
178141,VAR UNITED F.C.
178068,TIKI-TAKA BIRRAS FC
177546,RCD HAISK
178688,DRAGONES DE LAVAPI�S B
177655,INTERDREAM N.E
178066,ASTON BIRRA
178161,ANGELITOS
178122,TRONCHAS F.C.
178474,LA PE�A DE LOS MARTES 
178015,LA CRIU CF
177608,KONOHA TEAM
178226,Aris Limassol F.C.
177747,QUIZALUZA FC
177798,PALESTRA F.C
177599,INDEPENDIENTE CF7
177681,TATOOINE FC
177723,RULMEN 07
178357,LOS SOLFAMIDAS
177728,MNLS
177866,KALISE FC
177898,GORGONITAS FC
177733,PINAR CF
177810,MAX JALISCO
177848,BARSENAL
178845,MARINANTOS CF
177605,A POR EL BOTE
177943,BEBERLY TRONA FC
178255,LAVAPI CLICK
177941,CUBICOS F.C
177856,CDE DRAGONES DE LAVAPI�S
178739,CARI�OSOS CF
178209,LOS CHAVALES DE RUBIALES
178929,LA BALDOSA
178199,SHANGHAI WARRIORS - BAFRE FC
177837,CACHORROS FC
178525,GETAFALCONS FC
177741,DRUNKEN CLAM
177961,"RACING CAT�LICOS EN ACCI�N�""A"""
178064,LOS SUPERVIVIENTES
177794,MAMBO KINGS FC
177902,NUBES FC
177649,HARAMBE F.C.
177751,HOOKITA FC
181441,NAIF
181637,DRAGONES DE LAVAPI�S C
181260,"OLMOS MIZAR ""B"""
181524,"OLMOS MIZAR ""D"""
177632,SIMIOS C.F.
177791,CABULLEROS CF
178136,ALDEANOS SKINA
179433,NOZAR FC
179124,CLUB VI�AGRANDE
178456,JAGGER DE MUNICH
178254,LA 12
177621,G.P.S FC
177701,SAN PEDRITOS
178718,RAYA CAYETANA
178543,CSKRAAL 
181469,DRAGONES DE LAVAPIES B
183631,ST. GEORGE MADRID
180769,DRAGONES DE LAVAPI�S
183052,CDE PARQUE ROMA
181259,NAIF
182149,DRAGONES DE LAVAPI�S B
182086,DRAGONES DE LAVAPI�S A
181326,CD RETIRO AS B
180936,CD RETIRO AS A
182932,F.S. LEOPARDOS
182019,DRAGONES DE LAVAPIES A
181992,"OLMOS MIZAR ""C"""
181810,"OLMOS MIZAR ""A"""
182929,CLUB CODEC
181049,AFA JOAQUIN COSTA A
182292,MOVISTAR ESTUDIANTES N.S. LA MERCED
183431,COLEGIO SIGLO XXI 
181051,SAINZ DE VICU�A
178491,ESTUDIABAANTES
179823,TROTAMUNDOS
179071,CHIQUI Y DESGUACES
180007,TOROS
178656,BARTEAM OSBORNE
179853,POP�84
180054,DADOS
178912,CLUB AGUIRRE
179780,UNICAJA DE CERVEZAS C.B
179648,ELIPHOOPERS
178170,CB MADRID
178115,ACCI�N MUTANTE
179356,ROMA BASKET
179256,TAURUS
180293,PETROD�LARES
179117,NUSOTROS
178643,CAF� HNOS. VELASCO SETTAS
179852,CHAVALITROS
179793,FAKIN PANZAS
179834,GUINDILLAS
179301,ASTRO BALLERS
179154,28500
177542,MDL
179767,LO MARRON
179984,PELOTA NARANJA
178756,TROPICALEROS
179094,SPV
179868,FBK Kaunas
179128,LOS JUGONES
179768,LOSMASKBRONES
182223,CD LORETO MADRID
182102,CD LAS ROSAS
180943,CDE VIC�LVARO BALONCESTO
182425,CLUB AGUIRRE
180972,C.B. MORATALAZ
182223,CD LORETO MADRID 
182226,ESCUELA C.B. MORATALAZ
183431,COLEGIO SIGLO XXI
181143,BALONCESTO PROVIDENCIA
183695,ADC SAN FERMIN
183494,ICS
178911,DENVER PAKETS
178854,ENFERMOS DEL ARO
178355,HIPER DESGUACE VIC�LVARO
177814,IMSERSO
178087,CDE MADRID ELITE BASKETBALL
179844,MO ES MO
178327,NABUCO TD 
179201,SUANZES MOTOR
179862,TRASCENDEDORES C.B.
178965,MISTERY MEN
177893,LOS KHINKIS RUSOS
179557,BEBERLY TRONAS
178360,WILD BOYS
180020,BODYDROGA CB
179805,IN EXTREMIS
179331,CBZA
181906,ESCUELA C.B. MORATALAZ
184359,SAN BLAS BASKET 2013
182215,MOVISTAR ESTUDIANTES N.S. LA MERCED
182383,SAN BLAS BASKET
182948,SANTO ANGEL DE LA GUARDA
182627,CDE VIC�LVARO BALONCESTO
183122,ICS
179914,TRIFASIC BLUNTERS
178376,SAINZ DE VICU�A
179483,PUMAS RABIOSOS
178977,MDA
178879,VANNER
179379,EAU DE PACHULIA
178978,DVK JUVENTUD
179103,CASTA�AZO
179900,GUERREROS  MASTER
177836,LITROS DE MAHOU
177541,LA CANCHA ROJA
178773,YAYO VALLECANO CF
177577,SUSANOJETE F.C.
178835,SEKOS
178869,SPORTING DE MARTALA
178743,PREPLAYAS FC
178349,LAS JOYITAS DE CANILLAS
179461,APOEL ARBI
178544,FUTBOLHUB FC
179289,PAC�FICO C.F.
179208,COFISA FC
179439,UNI�N PENOSA
178616,EL FUMMME
178469,KILINDRES FC
179237,FATALY TEAM
178945,INTER DE MORATALAZ
179341,ESPARTANOS F.C.
178600,CRUZADOS F.C.
177980,BOCA DITTOS C.F
177833,ALMENDRAOS
179279,HERMANITAS F.C.
178584,BESTIARIO FC
177677,RIAL PINOS FC
178564,TROYANOS
177725,AL-TOKE F.C.
177724,UD PI�ARREAL
179281,New Foot-Ball Club
179063,ESF�NTER DE MIL�N
178875,CEBADITOS 1906
178699,A.D. MIULERS
178916,F.C CARTUBAS 
179449,REAL X
177994,YIMBEO FC
179447,PAPADOS F.C.
179021,DAROCA CF
179006,LEYENDAS FC
178618,KAMONO F.C.
178125,INAFUMA Y BEBEN FC
178733,LOS PU�ETEROS
178012,NO TEAM FC
178282,RUINAS FC
178817,TUBAKANITO FC
183320,CDE PIRATAS DE MORATALAZ
183749,CDE FUTSAL SAN BLAS
181067,ALVARO BAZAN AZUL - ASTON FS
181774,CD LAS ROSAS C
177884,LOS NI�OS FC
178027,DIE MANNSCHAFT
179912,DEPORTIVO MADRID FUTSAL
178025,CELTADEVINOFUTSAL
180113,CELTA DE VINO 
182817,ESC. DEP. ADAE SIMANCAS 'A'
178112,LA CUATRO
179655,HEAVYWHEIGHTS F.C
178231,LAS MUSAS C.F.S
179357,SAN ROCA FS 
178052,RASTROS FC
178503,RACING SAN BLAS FC
180076,REAL CACHETES
180113,CELTA DE VINO
178569,XYMAHO FC
177575,LAS MUSAS C.F.S.
177805,AZUKARILLOS
179032,ADAE SIMANCAS
178813,BEBESIKTAS
177568,BLANCA SENTENCIA
179200,THE BOIX
178621,RACING SAN BLAS F.S.
179434,ADIKTOS 2.0
177665,ALTRUS F.C
178796,MAFFI
183337,ESCUELA DEPORTIVA ADAE SIMANCAS B
181874,JUAN DE VALDES B
181430,COLEGIO NAZARET
182478,CDE LAS MINAS - LARRA B
181387,DEPORTIVO PASAMONTE
183335,ESCUELA DEPORTIVA ADAE SIMANCAS A
182409,JULIAN MAR�AS - ASTON F.S.
181671,ASTON F.S. A
181640,CEIP MARQU�S DE SUANZES
181298,ASTON FS A
180743,DEPORTIVO PASAMONTE
181283,IES FRANCISCO DE QUEVEDO
180914,C.D.E LAS MINAS
181189,CD ASTON FS C
181743,COLEGIO NAZARET
182171,ESCUELA DEPORTIVA ADAE SIMANCAS C
182876,ALAR� B
182169,IES MARQUES DE SUANZES
181159,CFS EUROSIRIS
182435,ESCUELA DEPORTIVA ADAE SIMANCAS B
183131,CDE FUTSAL SAN BLAS
182317,CD MARIO REYES LA PRESENTACI�N A
182373,ESCUELA DEPORTIVA ADAE SIMANCAS A
181610,COLEGIO NAZARET
182056,CDE EDUCACION Y DEPORTE SAN VICENTE
183442,CEIP MARQU�S DE SUANZES B
181811,C.D. DOSA B
181565,CEIPSO ALBERTO ALCOCER B
183340,ESCUELA DEPORTIVA ADAE SIMANCAS B
181514,CDE LAS MINAS - LARRA A
180670,JUAN DE VALD�S B
181117,DEPORTIVO PASAMONTE
183339,ESCUELA DEPORTIVA ADAE SIMANCAS A
180884,CFS EUROSIRIS
181761,JUAN DE VALD�S A
183748,CDE FUTSAL SAN BLAS
183342,ESCUELA DEPORTIVA ADAE SIMANCAS C
181462,CD ASTON FS B
181446,CFS EUROSIRIS
183696,ESTRELLA CAL�
182044,ESCUELA DEPORTIVA ADAE SIMANCAS B
180992,MURIALDO
180916,DEPORTIVO PASAMONTE
183102,CASVI BOADILLA B
182212,CUATRO VIENTOS F.C
183193,MAKO- SANTA RITA FUTSAL
183541,INSTITUCION LA SALLE B
182969,ARCANGEL INTERNATIONAL SCHOOL 2�
182992,CDE PINAR DE CARABANCHEL
181835,�BACO B
182129,SJGARCIA
183356,CEIP LOPE DE VEGA
182078,SANTA GEMA B
182789,CDB SPORTING LAS �GUILAS MERCADO DE LAS �GUILAS
182837,"EM ALUCHE FS ""X"""
182760,AV MANZANARES
180632,NUESTRA SE�ORA DE MORATALAZ
182115,MOVISTAR ESTUDIANTES N.S. LA MERCED
181624,REAL ARMADA DO
182221,GSD MORATALAZ
181762,DEPORTIVO PASAMONTE
181886,FUHEM MONTSERRAT A
182513,CDE VIC�LVARO BALONCESTO
183423,COLEGIO SIGLO XXI
180798,NUESTRA SE�ORA DE MORATALAZ
182018,MOVISTAR ESTUDIANTES N.S. LA MERCED
180631,CDE VIC�LVARO BALONCESTO
182791,SANTO ANGEL - SBB
182550,COLEGIO ESPIRITU SANTO
183878,ENSANCHE DE VALLECAS F
182510,GSD LAS SUERTES
182686,RUNNYMEDE
182456,CDE VIC�LVARO BALONCESTO
182822,ARCANGEL INTERNATIONAL SCHOOL
183046,CB FEMENINO ALCORC�N
182319,BJC
179462, C.B. SUR WILDCATS
177802,PARQUE ALUCHE
179421,KOBE 19
178932,DEA
179042,CERVECERIA EL GRECO
178720,CARABANCHEL BOBCATS
178991,STM 3.0
177924,FLACIDADOMINGO.
179535,IMPRESENTABLES C.B
178307,ALUCHE LEGACY
179462,C.B. SUR WILDCATS
179340,FAMILIA MONSTER
181145,REVOLUTION BLANCO
179249,BASKET BOTELLIN
178519,VOLEIBOL UDIT
178185,NOVAVOLTIOS
179570,ADC SAN FERM�N
178534,CORWATOS DE SAN NICASIO
178364,CORBATOS DE SAN NICASIO
179937,GMS ZETA
179941,GMS DELTA
178322,CV LEGAN�S A
180183,DPT - MASCULINO
178140,VOLEIBOL HISPANO USERA
178589,STARS SPORT B
180148,BIZCOCHITOS FC
182300,REVOLUTION GAMO DIANA
183551,CEIP HERNAN CORTES NEGRO
182908,CEIP PORTUGAL VERDE
180725,HA BASKET
182173,REVOLUTION ARENALES
180974,BOADILLA MONSTERS
181765,AMIDECU CAD MASC
181300,BJC A
182077,REVOLUTION ALUCHE
182816,ARCANGEL INTERNATIONAL SCHOOL
183045,CB FEMENINO ALCORC�N
182731,CD RETAMAR
183184,CB ORCASITAS
182043,SANTA MAR�A DEL BOSQUE
182385,AMIDECU INF MASC
181787,CDE PORTUGAL
182262,ARGANZUELA CENTRO
178836,BLACKBEES F.C.
183242,C.D. SAN VIATOR
181012,AT. BOTAFOGO TUM�N
181102,C.D.E PARQUE PRADOLONGO BLANCO
182730,AMIDECU INF
182826,E.M.F.GALLUR / RAYO LATINA A
182719,AMIDECU PREB
182820,E.M.F.GALLUR / RAYO LATINA B
182537,MADRID SUR LATINA
182857,CLUB SALESIANOS SAN MIGUEL ARCANGEL
183240,CDE SAN GABRIEL CARABANCHEL
179678,CALZONBEEF FC
179705,MELVIN FC
179728,PE�A B�TICA MADRID EN VERDIBLANCO
179584,REAL VALENCIA BALOMPIE
184023,D.C. ACADEMY BOLIVIA
182808,E.M.F.GALLUR / RAYO LATINA A
183275,CDE FC INCLUSIVE MENENDEZ PELAYO
182624,BREATHESPORT
182799,E.M.F.GALLUR / RAYO LATINA B
183243,CDE SAN GABRIEL CARABANCHEL
183137,"C.D. FORUS ""B"""
180956,C.D.E PARQUE PRADOLONGO
182590,BREATHESPORT (DANI)
182792,E.M.F.GALLUR / RAYO LATINA A
182644,AMIDECU 15 ALEV YA
182543,E.M.F.GALLUR / RAYO LATINA B
182778,ARENALES B
182405,BREATHESPORT (JHONY)
183260,CDE SAN GABRIEL CARABANCHEL
182496,BREATHESPORT (ESTEFANY)
179825,INFIELES FC
179466,GURUTIKTOKS F.C.
182782,VILLA DE LEGANES - DECA
184078,MARAVILLAS VERDE
184077,MARAVILLAS BLANCO
184076,MARAVILLAS AMARILLO
184075,MARAVILLAS AZUL
184071,MARAVILLAS AMARILLO
181977,ST. ANNE''S SCHOOL
183771,SP�NOLA CHAMART�N
183765,SPINOLA CHAMART�N
182030,RAMIRO DE MAEZTU
181711,ESCUELA DEPORTIVA NERVI�N A
183430,FEFC SANTA CATALINA B
183767,SPINOLA CHAMARTIN ROJO
182906,HISPANO-PROSPERIDAD B
180817,PINTOR ROSALES
183766,SPINOLA CHAMARTIN BLANCO
183770,SP�NOLA CHAMART�N
183074,COLEGIO ALTAIR
183305,"MANUEL FRAGA  ""B"""
182918,HISPANO-PROSPERIDAD B
183769,SPINOLA CHAMARTIN ROJO
183768,SPINOLA CHAMARTIN BLANCO
183427,FEFC SANTA CATALINA A
180638,PADRE MANYANET BLANCO
180995,KING'S COLLEGE
180867,PADRE MANYANET AZUL
180823,COLEGIO FUENTELARREYNA A
181535,"POVEDA ""A"""
182417,MOVISTAR ESTUDIANTES ALFREDO DI STEFANO AZUL
183458,CDE PARAISO A
183729,MOVISTAR ESTUDIANTES PINTOR ROSALES 2014
183602,ESTUDIO LAS NACIONES
183457,CDE PARAISO A
183730,MOVISTAR ESTUDIANTES EIJO GARAY
182356,C.B. PIZARRO CAMPUS �VILA
182636,MOVISTAR ESTUDIANTES SANTA MAR�A DE LA HISPANIDAD
183656,MARIA VIRGEN C
183654,MARIA VIRGEN B
183652,MARIA VIRGEN A
181179,"POVEDA ""A"""
182856,COLEGIO ALTAIR
181930,FEFC SANTA CATALINA B
182123,CEU SAN PABLO SANCHINARRO A
183292,CEIP JOS� ORTEGA Y GASSET
181661,"POVEDA ""B"""
182350,PABLO PICASSO
181827,FEFC SANTA CATALINA A
183071,COLEGIO ALTAIR
183651,MARIA VIRGEN A
183603,ESTUDIO LAS NACIONES
181793,ESCUELA DEPORTIVA NERVI�N A
183461,CDE PARAISO C
182897,HISPANO-PROSPERIDAD A
183460,CDE PARAISO A
181219,PILARINES AZUL
183465,CDE PARAISO B
183464,CDE PARAISO A
181757,COLEGIO BRISTOL
182913,HISPANO-PROSPERIDAD A
181312,ESCUELA DEPORTIVA NERVI�N B
181605,CDE PARAISO B
183462,CDE PARAISO D
184249,KCS LA MORALEJA SPORTS�CLUB
180770,SAN AGUSTIN AZUL
183469,CDE PARAISO D
180637,CDE PARAISO A
183399,SPINOLA
183470,CDE PARAISO C
181306,CDE PARAISO A
181495,ARTURO SORIA
183467,CDE PARAISO B
183471,CDE PARAISO A
182166,SAN AGUSTIN AMARILLO
183468,CDE PARAISO C
180849,SAN AGUST�N ROJO
182172,CDE PARAISO B
180855,SAN AGUSTIN AZUL
181564,TEAM RUNNYMEDE
183534,SAN AGUSTIN BLANCO
184000,IES MIRASIERRA
183472,CDE PARAISO B
183689,CEU SAN PABLO SANCHINARRO
178833,HIJOS DE POUTINE
183073,COLEGIO ALTAIR
183951,MENESIANO ROJO
184096,ASOCIACION EOF
183366,C.D. DOSA B
180861,EMPD C.D. DOSA A
183667,PERALES VOLEY JUVENIL FEMEN.
183371,C.D. DOSA A
181585,C.D. DOSA
181958,SANTA MAR�A LA BLANCA B
181885,SANTA MAR�A LA BLANCA A
182186,SANTA MAR�A LA BLANCA A
182726,COLEGIO REGGIO - ALEV�N A
178387,PACH C.F.
178442,AC FR�O
178517,GOLDITOS  CON  CALI
178478,CHICAGO MELIMPIO
178090,NOLETES FC
178728,TETUAN WOLVES C.F
177770,FOCAS ASTURIANAS
178552,UNI�N GERM�NICA CF
178323,LA MAFIA DEL AMOR
177952,RETES FC.
177853,NEW TEAM
178194,MAMBOUTS FC
180019,INGENIERIA VERDE FC
180222,WORLD PAJAS
179968,C.F. MADRID RIO NORTE
179911,FC VILLANOS
179980,RECREATIVO DEL PILAR
179484,RA�CES CFS
178664,TORREZNO FILIPINO
182738,COLEGIO REGGIO - ALEV�N B
182042,CD EL VALLE I
181779,CD EL VALLE G
183904,ADOLFO SU�REZ M.N B
182089,CD EL VALLE K
181993,CD EL VALLE J
181969,CD EL VALLE I
181879,CD EL VALLE H
183453,COLEGIO CRISTO REY
181304,ESCUELA DE HORTALEZA
181776,CORTES DE CADIZ A
181649,CEU SAN PABLO SANCHINARRO A
183418,CEIP NURIA ESPERT
182032,ALFREDO DI STEFANO �A�
182621, VALDEBEBAS GSD PREBENJAM�N  A
180621,RAMON Y CAJAL DINAMICA A
181279,PICASSO
180982,F.S. CASTORES
181689,EF CHA 
180622,RAMON Y CAJAL DINAMICA B
181866,CORTES DE CADIZ B
181352,KCS LA MORALEJA SPORTS CLUB
181170,F.S. LOBEZNOS
180691,F.S. GAZAPOS
182037,E F TEJAR
181686,LA MERCED 
182647,VALDEBEBAS GSD PREBENJAM�N  B
182880,SILVANO FC
181413,PICASSOB
181722,CEU SAN PABLO SANCHINARRO B
182647, VALDEBEBAS GSD PREBENJAM�N  B
181686,LA MERCED
184332,JOSE CALVO SOTELO
184302,JOSE CALVO SOTELO
181443,CEIPSO ALBERTO ALCOCER A
181321,CEIP MARQU�S DE SUANZES
183658,JULIAN MAR�AS - ASTON FS
182349,CD MARIO REYES LA PRESENTACI�N B
180903,CEIP MARQU�S DE SUANZES A
182274,A.D. ESCUDER
183017,LUIS VIVES
181280,ALVARO BAZAN ROSA - ASTON FS
181895,CDE- LAS MINAS LARRA B
182265,C.D.E. EDUCACI�N Y DEPORTE SAN VICENTE
181812,C.D.E. EDUCACION Y DEPORTE SAN VICENTE
180801,ALVARO BAZAN NARANJA - ASTON FS
180860,MURIALDO
182065,JUAN DE VALD�S B
181820,FS ESPA�A SUB-17
181066,"ADOLFO SUAREZ M.N ""B"""
180985,"ADOLFO SUAREZ M.N ""B"""
183150,DIVINO CORAZ�N - LEFUNKIDS
180781,C.D.E MADRILE�O NORTE
181753,"SALESIANOS ATOCHA ""A"""
181250,VALLEKAS BASKET
182770,MOVISTAR ESTUDIANTES MASC
182333,GSD VALLECAS
182117,GSD MORATALAZ
183228,A.D. NUEVA CASTILLA
183834,LOYOLA P. ENSANCHE VK A
182976,CEIP PALOMERAS BAJAS EMPD
183835,A.R.SAHAGUN ENSANCHE VK B
180452,ATENAS FC
180462,VATOS F.C.
180461,TRUCCO FC
180457,LATITUD ZERO FC
180456,LA UNOSIETE
180455,JOGA RONSITO
180460,SPORTING JOTAS
180459,NOTTINGHAM MIEDO
180458,NEU STEINBURG
180463,WINCHESTER PITI
180453,CAMPEONES 3
180454,CUAJAOS FC
180511,REAL HORTALEZA
180510,MARAVILLAS CF
