ESPAZO,URL_ESPAZO,ENDEREZO,NUMERO,CÓDIGO POSTAL,CONCELLO,URL_CONCELLO,PROVINCIA,URL_PROVINCIA,TELÉFONO,E-MAIL,AFORAMENTO,WEB,LATITUD,LONGUITUD
Auditorio da Casa da Cultura,,Rúa Domingo Antonio de Andrade, ,15270,Cee,https://www.wikidata.org/wiki/Q988707,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 745 100,vmcastineira@gmail.com,175,https://cee.gal,42.955649000000001,-9.1901340000000005
Teatro Jofre,https://www.wikidata.org/wiki/Q11951077,Praza de Galicia, ,15402,Ferrol,https://www.wikidata.org/wiki/Q485329,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 944 244,produccion.jofre@ferrol.es ,556,https://www.ferrol.gal ,43.482546999999997,-8.2337600000000002
Centro Cultural e Xuvenil de Muros,,Estrada de Miraflores,  ,15250,Muros,https://www.wikidata.org/wiki/Q578957,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 762 294,cultura@muros.es ,160,http://www.muros.gal,42.773901000000002,-9.0589899999999997
Pazo da Cultura de Narón,https://www.wikidata.org/wiki/Q12397270,Rúa Holanda, ,15570,Narón,https://www.wikidata.org/wiki/Q1368896,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 391 144,p.cultura@naron.es ,900,https://www.padroadodecultura.es,43.496673999999999,-8.1955360000000006
Auditorio Municipal de Narón,,Praza de Galicia, ,15570,Narón,https://www.wikidata.org/wiki/Q1368896,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 391 144,p.cultura@naron.es ,384,https://www.padroadodecultura.es,43.500059999999998,-8.1925410000000003
Auditorio Gabriel Garcia Márquez,,"Rúa Camilo Díaz, Edif. Obelisco ",,15173,Oleiros,https://www.wikidata.org/wiki/Q688611,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 610 000,cultura@oleiros.org ,400,http://www.oleiros.org,43.382950000000001,-8.3362479999999994
Teatro da Beneficencia,https://www.wikidata.org/wiki/Q12400943,Praza Isabel II, ,15330,Ortigueira,https://www.wikidata.org/wiki/Q1375842,A Coruña Province,https://www.wikidata.org/wiki/Q82119,639 043 936,"mlopez@concellodeortigueira.com

",250,http://concellodeortigueira.gal,43.684542999999998,-7.8547750000000001
Casa da Cultura Pintor Lloréns,,Paseo do Porto,,15610,Sada,https://www.wikidata.org/wiki/Q1616081,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 619 115,casacultura@concellodesada.com ,300,https://www.sada.gal,43.355718000000003,-8.2520209999999992
Teatro Principal,https://www.wikidata.org/wiki/Q46589461,Rúa Nova,21,15705,Santiago de Compostela,https://www.wikidata.org/wiki/Q14314,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 542 347,direccion@audiotoriodegalicia.org ,399,https://www.compostelacultura.gal,42.878804000000002,-8.5435199999999991
Salón Teatro ,,Rúa Nova,34,15705,Santiago de Compostela,https://www.wikidata.org/wiki/Q14314,A Coruña Province,https://www.wikidata.org/wiki/Q82119,881 867 223,centro.dramatico.galego@xunta.gal,273,http://centrodramatico.xunta.gal,42.878413000000002,-8.5438179999999999
Auditorio Casa da Cultura  ,,A Braña, ,15129,Vimianzo,https://www.wikidata.org/wiki/Q1616162,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 716 001,nieves.lema@vimianzo.gal,420,https://www.vimianzo.gal,43.111859000000003,-9.0341880000000003
Casa da Cultura  ,,Rúa Pardo Bazán,6,27880,Burela,https://www.wikidata.org/wiki/Q1619456,Lugo Province,https://www.wikidata.org/wiki/Q95027,982 580 683,casadacultura@burela.org ,824,http://www.burela.org,43.660603000000002,-7.3581760000000003
Sala Bahía,,Rúa Cervantes,40,27780,Foz,https://www.wikidata.org/wiki/Q917878,Lugo Province,https://www.wikidata.org/wiki/Q95027,982 140 027,cultura@concellodefoz.es ,250,http://www.concellodefoz.es,43.571517999999998,-7.2594750000000001
Auditorio Municipal Gustavo Freire,,Parque da Milagrosa, ,27001,Lugo,https://www.wikidata.org/wiki/Q11125,Lugo Province,https://www.wikidata.org/wiki/Q95027,982 297 217,cultura@concellodelugo.org,850,http://concellodelugo.gal,43.022886,-7.5618790000000002
Edificio Multiusos,,Avda. Emilia Casas Baamonde,,27400,Monforte de Lemos,https://www.wikidata.org/wiki/Q818341,Lugo Province,https://www.wikidata.org/wiki/Q95027,982 402 501,cultura@concellodemonforte.com ,478,http://www.monfortedelemos.es,42.528061000000001,-7.5118390000000002
Auditorio Municipal Hernán Naval,,Rúa Buenos Aires,14,27700,Ribadeo,https://www.wikidata.org/wiki/Q824076,Lugo Province,https://www.wikidata.org/wiki/Q95027,982 131 565,cultura@ribadeo.org ,330,http://ribadeo.gal,43.534739999999999,-7.0384679999999999
Teatro Nicomedes Pastor Díaz,,Constanza de Castro,19,27850,Viveiro,https://www.wikidata.org/wiki/Q641221,Lugo Province,https://www.wikidata.org/wiki/Q95027,982 560 162,rbg.cultura@viveiro.es ,393,https://www.viveiro.es,43.662306999999998,-7.5948479999999998
Centro Cultural Avenida,,Rúa Progreso,90,32250,A Rúa de Valdeorras,https://www.wikidata.org/wiki/Q1607619,Ourense,https://www.wikidata.org/wiki/Q95038,988 310 116,alcaldia@arua.gal,265,http://arua.es,42.394285000000004,-7.1162599999999996
Teatro Municipal Lauro Olmo,,Rúa da Estación,2,32200,O Barco de Valdeorras,https://www.wikidata.org/wiki/Q1607428,Ourense,https://www.wikidata.org/wiki/Q95038,988 320 053,cultura@concellodobarco.org ,275,https://www.concellodobarco.org,42.415461000000001,-6.9856769999999999
Auditorio Municipal Manuel María,,Praza Maior,1,32500,O Carballiño,https://www.wikidata.org/wiki/Q1607558,Ourense,https://www.wikidata.org/wiki/Q95038,988 530 007,oixcultura@carballino.org ,426,http://www.carballino.gal ,42.433442999999997,-8.0803279999999997
Auditorio Pazo de Congresos,,Rúa da Canle,2,32005,Ourense,https://www.wikidata.org/wiki/Q99151,Ourense,https://www.wikidata.org/wiki/Q95038,988 391 290,auditorio@ourense.es ,925,http://ourensecultura.gal,42.337932000000002,-7.8604450000000003
Teatro Principal,https://www.wikidata.org/wiki/Q11951078,Rúa da Paz,9,32005,Ourense,https://www.wikidata.org/wiki/Q99151,Ourense,https://www.wikidata.org/wiki/Q95038,988 317 960,oficina.teatro@depourense.es ,394,http://www.teatroprincipalourense.com,42.337164999999999,-7.8637220000000001
Teatro Principal da Estrada,,Rúa Serafín Pazo,,36680,A Estrada,https://www.wikidata.org/wiki/Q1621191,Pontevedra Province,https://www.wikidata.org/wiki/Q95086,986 573 601,aestradacultura@gmail.com,388,http://www.aestrada.gal,42.688070000000003,-8.4893590000000003
Auditorio Municipal da Xuventude,,Rúa San Francisco,3,36360,Cambados,https://www.wikidata.org/wiki/Q695477,Pontevedra Province,https://www.wikidata.org/wiki/Q95086,986 520 008,pazotorrado@gmail.com,250,https://cambados.es,42.514954000000003,-8.8131219999999999
Auditorio Lois Tobío,,Rúa Manuel Alonso,6,36380,Gondomar,https://www.wikidata.org/wiki/Q1607596,Pontevedra Province,https://www.wikidata.org/wiki/Q95086,986 363 913,cultura@concellodegondomar.com ,250,https://concellodegondomar.gal,42.111111999999999,-8.7619030000000002
Salón Teatro de Lalín,,Praza do Mercado,,36500,Lalín,https://www.wikidata.org/wiki/Q1374736,Pontevedra Province,https://www.wikidata.org/wiki/Q95086,986 784 004,cultura@lalin.gal ,320,https://lalin.gal,42.664782000000002,-8.1046169999999993
Pazo da Cultura de Pontevedra,,Alexandre Bóveda,,36005,Pontevedra,https://www.wikidata.org/wiki/Q12411,Pontevedra Province,https://www.wikidata.org/wiki/Q95086,986 833 061,coordinacion@pazodacultura.org ,752,http://www.pazodacultura.org,42.435496999999998,-8.6377439999999996
Pontevedra Principal Theatre,https://www.wikidata.org/wiki/Q12400945,Rúa de Paio Gómez Chariño,6,36002,Pontevedra,https://www.wikidata.org/wiki/Q12411,Pontevedra Province,https://www.wikidata.org/wiki/Q95086,986 833 061,coordinacion@pazodacultura.org ,434,http://www.pazodacultura.org,42.432473000000002,-8.6464870000000005
Multiusos da Xunqueira,,Paseo da Xunqueira, ,36800,Redondela,https://www.wikidata.org/wiki/Q833032,Pontevedra Province,https://www.wikidata.org/wiki/Q95086,986 400 300,cultura@redondela.gal ,278,http://redondela.gal,42.282848999999999,-8.6100010000000005
Teatro Municipal de Tui,,Rúa Colón,2,36700,Tui,https://www.wikidata.org/wiki/Q824122,Pontevedra Province,https://www.wikidata.org/wiki/Q95086,986 603 625,cultura@concellotui.org,554,http://www.culturatui.info,42.049515999999997,-8.6470680000000009
Auditorio Municipal de Vigo,,Praza do Rei,1,36202,Vigo,https://www.wikidata.org/wiki/Q8745,Pontevedra Province,https://www.wikidata.org/wiki/Q95086,986 810 239, ofi.areacultural@vigo.org,283,https://hoxe.vigo.org,42.235928999999999,-8.7268910000000002
Auditorio Rocío Jurado,https://www.wikidata.org/wiki/Q5711434,Avda. A Mariña,27,36600,Vilagarcía de Arousa,https://www.wikidata.org/wiki/Q1442637,Pontevedra Province,https://www.wikidata.org/wiki/Q95086,986 512 600,cultura@vilagarcia.es ,754,http://www.vilagarcia.es,42.598173000000003,-8.7669139999999999
Auditorio Rocío Jurado,https://www.wikidata.org/wiki/Q5711434,Avda. de Lugo,27,36940,Cangas,https://www.wikidata.org/wiki/Q1628188,Pontevedra Province,https://www.wikidata.org/wiki/Q95086,986 304 108,auditorio@cangas.gal,690,https://cangas.gal,42.267704199999997,-8.7855354000000005
Teatro Coliseo Noela,https://www.wikidata.org/wiki/Q12400937,Rúa Curro,4,15200,Noia,https://www.wikidata.org/wiki/Q818601,A Coruña Province,https://www.wikidata.org/wiki/Q82119,981 828 104,concha.allut@gmail.com,342,http://www.noia.es,42.782785500000003,-8.8893874000000004
Auditorio Reveriano Soutullo,,Rúa Doutor Fernández de la Vega,,36860,Ponteareas,https://www.wikidata.org/wiki/Q617119,Pontevedra Province,https://www.wikidata.org/wiki/Q95086,986 661 674,departamentocultura@ponteareas.es,400,https://ponteareas.gal,42.174299099999999,-8.5069826000000006
Auditorio Municipal de Goián,,Avda. Pío Troncoso,,36740,Tomiño,https://www.wikidata.org/wiki/Q1628263,Pontevedra Province,https://www.wikidata.org/wiki/Q95086,986 622 001,cris.martinez@tomino.gal,322,https://tomino.gal,41.948506000000002,-8.7715019999999999
